SrNo,ISO StateCode,Latitude,Longitude,StateName,countrycode,,
117,MAL,-9.67548,16.82553,Malanje,AO,,
118,MOX,-12.84869,20.93266,Moxico,AO,,
119,NAM,-15.33207,12.66002,Namibe,AO,,
120,UIG,-7.10719,15.44056,Uige,AO,,
121,ZAI,-6.58717,13.51966,Zaire,AO,,
122,C,-31.413496,-64.181052,Cardoba,AR,,
123,M,-32.890845,-68.827171,Mendoza,AR,,
124,T,-26.824144,-65.2226,TucumA¡n,AR,,
125,B,-34.921454,-57.954533,Buenos Aires,AR,,
126,A,-24.785896,-65.411664,Salta,AR,,
127,S,-31.629484,-60.701036,Santa Fe,AR,,
128,J,-31.5375,-68.536389,San Juan,AR,,
129,D,-33.295012,-66.335627,San Luis,AR,,
130,H,-27.46056,-58.983886,Chaco,AR,,
131,N,-27.367077,-55.896078,Misiones,AR,,
132,G,-27.795112,-64.261489,Santiago del Estero,AR,,
133,W,-27.480596,-58.834099,Corrientes,AR,,
134,Y,-24.194565,-65.297116,Jujuy,AR,,
135,E,-31.731967,-60.523802,Entre RA­os,AR,,
136,Q,-38.951606,-68.059102,NeuquAcn,AR,,
137,P,-26.177534,-58.178139,Formosa,AR,,
138,F,-29.411048,-66.850668,La Rioja,AR,,
139,L,-36.616667,-64.283333,La Pampa,AR,,
140,Z,-51.622613,-69.218127,Santa Cruz,AR,,
141,R,-40.813452,-62.996676,RA­o Negro,AR,,
142,V,-54.8,-68.3,"Tierra del Fuego, AntA¡rtida e Islas del AtlA¡ntico Sur",AR,,
143,U,-43.300158,-65.10228,Chubut,AR,,
144,K,-28.469574,-65.785239,Catamarca,AR,,
145,10,-14.31667,-170.76667,"Western District	",AS,,
146,20,-11.056,-171.082,"Swains Island	",AS,,
147,30,-14.26667,-170.65,"Eastern District	",AS,,
148,40,-14.23327,-169.47458,"Manu'a District	",AS,,
149,50,-14.54583,-168.15,"Rose Atoll	",AS,,
150,OOE,48.3,14.3,Oberosterreich,AT,,
151,STM,47.066667,15.45,Steiermark,AT,,
152,SBG,47.8,13.033333,Salzburg,AT,,
153,TIR,47.266667,11.4,Tirol,AT,,
154,KAE,46.624722,14.305278,Karnten,AT,,
155,VBG,47.5,9.766667,Vorarlberg,AT,,
156,BGL,47.85,16.516667,Burgenland,AT,,
157,NOE,48.2,15.633333,Niederosterreich,AT,,
158,NSW,-33.861481,151.205475,New South Wales,AU,,
159,QLD,-27.47101,153.024292,Queensland,AU,,
160,WA,-31.95224,115.861397,Western Australia,AU,,
161,SA,-34.928661,138.598633,South Australia,AU,,
162,NT,-12.45722,130.836639,Northern Territory,AU,,
163,TAS,-42.883209,147.331665,Tasmania,AU,,
164,VIC,-37.813938,144.963425,Victoria,AU,,
165,AW,12.510052,-70.009354,Aruba,AW,,
166,GA,40.682778,46.360556,Gence,AZ,,
167,SM,40.589722,49.668611,Sumqayat,AZ,,
168,AGU,41.191944,47.170556,Azeki,AZ,,
169,LAN,38.755947,48.84715,Lenkeran,AZ,,
170,YEV,40.612732,47.142329,Yevlax,AZ,,
171,GOY,40.650555,47.74219,Gayaay,AZ,,
172,TOV,40.992487,45.628384,Tovuz,AZ,,
173,QAB,40.982474,47.849092,Qebele,AZ,,
174,GAD,40.570551,45.812288,Gedebey,AZ,,
175,GOR,40.610278,46.789722,Goranboy,AZ,,
176,OGU,41.07128,47.465284,Oayuz,AZ,,
177,ZAQ,41.631596,46.644791,Zaqatala,AZ,,
